index,title,artist,duration,duration_sec
1145,Lovers on the Sun,David Guetta & Sam Martin,03:24,204
1146,Ooh Ahh (My Life Be Like),Grits & TobyMac,03:53,233
1147,Stole the Show,Kygo,03:43,223
1148,Время,Макс Корж,03:38,218
1149,Cupid's Chokehold / Breakfast in America,Gym Class Heroes,04:03,243
1150,SIA,Lilybelle,03:51,231
1151,Dusk Till Dawn,ZAYN & Sia,03:59,239
1152,Titanium,David Guetta & Sia,04:05,245
1153,Разная дрянь,CAPTOWN,02:15,135
1154,Под водой,Zuwu,02:46,166
1155,Sleepwithu,Silecut,01:37,97
1156,Бассейн,Noize MC,03:37,217
1157,Госпел,bollywoodFM,02:25,145
1158,Ходына,Канги,02:28,148
1159,Малолетняя любовь,ФОГЕЛЬ,03:17,197
1160,Жить не запретишь,Канги,02:44,164
1161,Сумасшедший,КлоуКома,02:41,161
1162,Стресс,SALUKI & ЛСП,02:18,138
1163,CAN WE KISS FOREVER,Melora,03:08,188
1164,Зелёный чемодан,Макс Корж,03:43,223
1165,Not Afraid,Eminem,04:08,248
1166,Everybody Dies In Their Nightmares,XXXTentacion,01:35,95
1167,Добро,Lizer,04:08,248
1168,Devil Eyes,Hippie Sabotage,02:11,131
1169,Losing Interest,inownlove & Shiloh,01:44,104
1170,Get You The Moon,Kina & Snøw,02:59,179
1171,Get Lucky,Daft Punk & Pharrell Williams & Nile Rodgers,04:08,248
1172,Sunset Lover,Petit Biscuit,03:59,239
1173,Настоящий,Макс Корж,03:49,229
1174,Я делаю шаг,The Hatters,03:39,219
1175,Love The Way You Lie,Eminem & Rihanna,04:23,263
1176,Good Feeling,Flo Rida,04:08,248
1177,Из этого города,Lizer,04:31,271
1178,В потолок,KURT92 & Boulevard Depo,02:08,128
1179,Мой друг,Макс Корж,03:33,213
1180,Розовое облако,Полумягкие & Арт,01:55,115
1181,ДЕЛОРИАН,Джарахов,03:28,208
1182,Cloud,Mosquit,04:12,252
1183,Big City Life,Mattafix,04:01,241
1184,Safe And Sound,Capital Cities & Sebu Simonian & Ryan Merchant,03:13,193
1185,ДУРАКАМ ВЕЗЁТ,ФОГЕЛЬ,02:19,139
1186,МИР КАМЕННЫХ БЛОКОВ,ФОГЕЛЬ,02:42,162
1187,Ты любил её?,dalebotbeats,04:05,245
1188,Falling,vibermx,03:16,196
1189,Ууу,ЛСП,02:48,168
1190,Где я,Макс Корж,04:11,251
1191,Кто здесь папа?,Макс Корж,02:13,133
1192,Бессонница,Макс Корж,03:10,190
1193,Своё заберу,Макс Корж,03:55,235
1194,Road,er1taga & d1proo,02:29,149
1195,death bed (coffee for your head),Powfu & beabadoobee,02:53,173
1196,Аugust,Intelligency,03:27,207
1197,I Just Wanna Shine,Fitz & The Tantrums,03:16,196
1198,Пламенный свет,Макс Корж,03:55,235
1199,В темноте,Макс Корж,03:03,183
1200,Балконы,Макс Корж,04:40,280
1201,Горы по колено,Макс Корж,04:00,240
1202,My Way,Calvin Harris,03:39,219
1203,More Than You Know,Axwell /\ Ingrosso & Axwell & Sebastian Ingrosso,03:23,203
1204,Cradles,Sub Urban,03:30,210
1205,Кино,MACAN,03:04,184
1206,GOODMORNINGTOKYO!,Tokyo's Revenge,02:30,150
1207,Way Down We Go,KALEO,03:40,220
1208,Love Me Like You Do,Love Me Like You Do,04:13,253
1209,Кладбище,вышел покурить,01:49,109
1210,Патрон,ЛСП & 25/17,03:30,210
1211,Тысячи рук,SODA LUV,03:06,186
1212,Не сегодня,Lizer,02:36,156
1213,Убьют за нас,Lizer,03:49,229
1214,В жизни так бывает,Lizer,03:35,215
1215,Быстро повзрослел,Lizer,02:48,168
1216,False Mirror,FLESH & Lizer,02:22,142
1217,Характер,Lizer,03:33,213
1218,Never Met!,ENCASSATOR,01:32,92
1219,Домино,NAGAL & ghostofblu,02:55,175
1220,Существо,Sagath,02:54,174
1221,Коктейль,ЛСП,03:03,183
1222,Idol,Hollywood Undead & KURT92,04:07,247
1223,Хулиган,KURT92 & Heartsnow,02:36,156
1224,Кружит,MONATIK,02:47,167
1225,i love u girl.,poofi. & Shiloh Dynasty,01:38,98
1226,Не выдумывай,Макс Корж,04:00,240
1227,Ползать,ЛСП,02:39,159
1228,Slime Love,uglystephan archive,03:09,189
1229,искусство,семьсот семь,01:35,95
1230,В комнате цветных пелерин,Марія Чайковська,02:52,172
1231,театр,owlneverdie,01:56,116
1232,Лифт,PIZZA,03:18,198
1233,Night Trouble,Petit Biscuit,06:31,391
1234,Мама,Burito,03:09,189
1235,Слово пацана,Макс Корж,05:14,314
1236,Колыбельная,Rauf & Faik,03:53,233
1237,NBA,RSAC,02:13,133
1238,Маленький принц,ЛСП,03:01,181
1239,Корабли,Lizer,02:56,176
1240,Faded,Alan Walker,03:33,213
1241,Way down We Go,KALEO,03:28,208
1242,Young And Beautiful,Lana Del Rey,03:56,236
1243,Hear Me Now,Alok & Zeeba & Bruno Martini,03:13,193
1244,Hands Up,Merk & Kremont & DNCE,02:46,166
1245,Hall Of Fame,The Script,03:23,203
1246,Whistle,Flo Rida,03:45,225
1247,Animals,Maroon 5,03:50,230
1248,Take Me To Church,Hozier,04:02,242
1249,Stereo Hearts (feat. Adam Levine),Gym Class Heroes & Adam Levine,03:31,211
1250,Не отдам,Lizer,03:07,187
1251,Дом хрустальный,ЛСП,02:42,162
1252,Рядом С Тобой,GONE.Fludd & M00NCHILD,02:15,135
